,server_round,acc_centralized,acc_distributed,losses_centralized,losses_distributed
0,1,0.1,0.0906515580736544,2.7212488423487184,2.499089154575769
1,2,0.1,0.1016949152542373,2.722887631434544,2.7597348636153054
2,3,0.1,0.11282051282051282,2.5667569029862713,2.536328686811985
3,4,0.1,0.0830945558739255,2.5851510193697207,2.4653635913116543
4,5,0.1066,0.14168937329700274,2.3933236386365953,2.321992989781767
5,6,0.1,0.09319899244332494,2.3524877356875473,2.3990500988227597
6,7,0.1,0.05649717514124294,2.4286461332041744,2.3955630656689575
7,8,0.1,0.05434782608695652,2.4393196591905726,2.5354800502891126
8,9,0.1,0.12044817927170869,2.4422041640919483,2.492747601340799
9,10,0.1,0.23095238095238096,2.475842917800709,2.4305062424568904
10,11,0.1,0.04664723032069971,2.4250127950291724,2.56208056889192
11,12,0.1,0.07255520504731862,2.381786177872093,2.3973240213063236
12,13,0.1,0.07093821510297482,2.3720145681101803,2.4197023782359106
13,14,0.1,0.16614420062695925,2.3936697662256328,2.4049973416851604
14,15,0.1,0.1021671826625387,2.4265589941838743,2.429262227687304
15,16,0.1,0.1484848484848485,2.4149100643813988,2.2256067933458272
16,17,0.1,0.035,2.386223830994527,2.4790734791755678
17,18,0.1,0.1286549707602339,2.393796850921242,2.527230444010238
18,19,0.1,0.05,2.409173723998343,2.5174936175346376
19,20,0.1,0.04774535809018567,2.444298394926035,2.502296392101824
20,21,0.1,0.08682634730538923,2.534666072031495,2.5653989286479835
21,22,0.1,0.09627329192546584,2.5130530375583917,2.5231148111894264
22,23,0.1,0.10084033613445378,2.427444231737951,2.4132514600994206
23,24,0.1,0.13595166163141995,2.369429749288377,2.363235325971759
24,25,0.1,0.1618798955613577,2.384146271237902,2.357469480902968
25,26,0.1,0.0627062706270627,2.371853816281458,2.439758480185329
26,27,0.1,0.12598425196850394,2.353244085980069,2.36288607777573
27,28,0.1,0.12857142857142856,2.3766770924732183,2.375403377669198
28,29,0.1,0.14698162729658792,2.42036490683343,2.3607902558143996
29,30,0.1,0.04819277108433735,2.421167662189265,2.455633766679879
30,31,0.1,0.0812807881773399,2.352938264798207,2.34405179152935
31,32,0.1,0.09375,2.3150077352098597,2.308026158674197
32,33,0.1,0.1261904761904762,2.32086692190474,2.308158009960538
33,34,0.1,0.09366391184573003,2.355538555011628,2.3585090085494618
34,35,0.1,0.07246376811594203,2.37030183889304,2.43246789669645
35,36,0.1,0.1390532544378698,2.3526145409626564,2.3377872388038408
36,37,0.1,0.06027397260273973,2.358583394129565,2.4295933814897928
37,38,0.1,0.1340782122905028,2.36293883536272,2.30607575744224
38,39,0.1,0.14356435643564355,2.3659214715289463,2.38288027284169
39,40,0.1,0.01764705882352941,2.355194049276364,2.455427183123196
40,41,0.1,0.13259668508287292,2.3523031814842468,2.258508960845062
41,42,0.1,0.06426735218508997,2.3403961035856016,2.3311006710278037
42,43,0.1,0.05714285714285714,2.3481297325936095,2.379808181429666
43,44,0.1,0.09063444108761329,2.343709579698599,2.369470994638172
44,45,0.1,0.11898016997167139,2.3397715911743746,2.3544036382993965
45,46,0.1,0.23283582089552238,2.3374716461084453,2.2483245024040563
46,47,0.1,0.13623188405797101,2.3351299291963032,2.3292064728944197
47,48,0.1,0.0997229916897507,2.336725400511626,2.326334732721387
48,49,0.1,0.0903954802259887,2.3320270465437773,2.388916639284899
49,50,0.1,0.08831908831908832,2.3273151740906344,2.3395851161065604
50,51,0.1,0.09693877551020408,2.32370564284598,2.3160985118272355
51,52,0.1,0.09036144578313253,2.3341187474074636,2.346248428505587
52,53,0.1,0.11688311688311688,2.3523453344964675,2.275701953838398
53,54,0.1,0.16863905325443787,2.3681403102388807,2.204687906440193
54,55,0.1,0.08403361344537816,2.36965471620013,2.386799738186748
55,56,0.1,0.03504043126684636,2.361971902239854,2.3862775242874887
56,57,0.1,0.1509433962264151,2.3514530142401435,2.234841926292803
57,58,0.1,0.07425742574257425,2.3415109397499423,2.3150450610878446
58,59,0.1,0.07580174927113703,2.3304234036974085,2.3073501162904346
59,60,0.1,0.04892966360856269,2.3199942248642067,2.357688456135788
60,61,0.1,0.16927899686520376,2.3172858551049687,2.3389432138783803
61,62,0.1,0.0582010582010582,2.3159396678778776,2.3630679593515143
62,63,0.1,0.10891089108910891,2.318403365505729,2.3498141452817634
63,64,0.1,0.08042895442359249,2.3195911972386063,2.278019937689119
64,65,0.1,0.026490066225165563,2.324737627794788,2.358298458010945
65,66,0.1,0.011142061281337047,2.3237298476468227,2.2897668475892217
66,67,0.1,0.08504398826979472,2.32100398221593,2.333311948608443
67,68,0.1,0.15,2.3147213352713614,2.2921173486444686
68,69,0.1,0.04878048780487805,2.3118150112735236,2.312869625847514
69,70,0.1,0.19195046439628483,2.3104880539474975,2.2763395051099935
70,71,0.1,0.06504065040650407,2.31451045935321,2.3262889436913055
71,72,0.1,0.15588235294117647,2.323001814495986,2.333775148672216
72,73,0.1,0.052307692307692305,2.3354360404287933,2.371077830974872
73,74,0.1,0.1348973607038123,2.3445567826556553,2.3246822063524353
74,75,0.1,0.06770833333333333,2.3412300644406847,2.3209122953315577
75,76,0.1,0.045454545454545456,2.3345191205383107,2.367478497326374
76,77,0.1,0.11176470588235295,2.322933054274055,2.275113459895639
77,78,0.1,0.163727959697733,2.3188854190194683,2.3679631663209544
78,79,0.1,0.2621082621082621,2.318161012260777,2.2668009293385043
79,80,0.1,0.08588957055214724,2.313219287592894,2.3514365301541758
80,81,0.1,0.048701298701298704,2.3077685832977295,2.3187108550752913
