,server_round,acc_centralized,acc_distributed,losses_centralized,losses_distributed
0,1,0.1023,0.20396600566572237,4.129919812937451,3.7305855740906497
1,2,0.1,0.08757062146892655,3.4925122625508886,3.9447252831216586
2,3,0.1,0.05128205128205128,3.1384225468726674,3.6035574112183006
3,4,0.1,0.11174785100286533,3.5587163897836285,3.687849039334622
4,5,0.099,0.07901907356948229,3.631850426364097,4.0563689051272105
5,6,0.1,0.08060453400503778,2.95853811008915,2.937985682067102
6,7,0.1,0.05649717514124294,3.295679344493113,2.9449119285001593
7,8,0.1,0.21467391304347827,2.716803418602913,2.6276174003015393
8,9,0.1,0.13165266106442577,2.844808860948891,2.9066064611536446
9,10,0.1006,0.03571428571428571,2.662045521341312,2.6799237228575206
10,11,0.1,0.15743440233236153,3.0736826028034185,2.8410734897452263
11,12,0.1,0.056782334384858045,2.9639564304594783,2.9575810379786445
12,13,0.1,0.13043478260869565,3.1048553718882763,2.950933031413866
13,14,0.1125,0.08463949843260188,2.7543427306375685,2.813379680848794
14,15,0.1,0.04024767801857585,2.6892974498165643,2.7412736371574757
15,16,0.1,0.19090909090909092,3.209998425404737,2.863872809121103
16,17,0.1533,0.21,2.8480169317524906,2.919387707710266
17,18,0.1,0.043859649122807015,2.7883416922988404,3.0103081890016967
18,19,0.1,0.09117647058823529,2.62809724261047,2.7722233007935917
19,20,0.1042,0.08753315649867374,2.4888999462127686,2.545321193234674
20,21,0.1,0.11077844311377245,2.8832057873914194,2.7740646083197906
21,22,0.1112,0.16459627329192547,2.412364847341161,2.303449283105246
22,23,0.1,0.04201680672268908,2.4952492850601296,2.528723292657975
23,24,0.1489,0.19637462235649547,2.2905309093985586,2.20207966994663
24,25,0.1484,0.19843342036553524,2.4892878441294286,2.4491432404082376
25,26,0.1,0.11551155115511551,2.418696693554046,2.4630833923226536
26,27,0.1417,0.1679790026246719,2.489744880396849,2.4812612690011973
27,28,0.1658,0.18,2.321651733604966,2.32728632075446
28,29,0.1,0.14698162729658792,2.3732721213322536,2.1926345449732985
29,30,0.1535,0.14759036144578314,2.4360926804269196,2.3721797724804246
30,31,0.1617,0.14039408866995073,2.402935661328067,2.5147588517278288
31,32,0.1542,0.1534090909090909,2.4709033859763174,2.328444941816005
32,33,0.1543,0.14523809523809525,2.2343249275426196,2.298073670977638
33,34,0.1563,0.25068870523415976,2.410278718182995,2.217387941258013
34,35,0.1887,0.17391304347826086,2.2927544694037953,2.3253691531609797
35,36,0.1481,0.16863905325443787,2.4817415103790865,2.3363399399808173
36,37,0.1781,0.15342465753424658,2.3351258836734066,2.4641608427648674
37,38,0.1298,0.11173184357541899,2.2209374813517186,2.2142822206353343
38,39,0.1699,0.21287128712871287,2.226532471407751,2.2120161186350455
39,40,0.1624,0.17058823529411765,2.284575170772091,2.399782999824075
40,41,0.1855,0.21823204419889503,2.264966733896049,2.175427987430636
41,42,0.17,0.13624678663239073,2.1599644604761887,2.0891213999309395
42,43,0.1393,0.11428571428571428,2.5142777269812906,2.619438314437866
43,44,0.1898,0.1661631419939577,2.211971219178218,2.237714401544761
44,45,0.1902,0.23229461756373937,2.1620602296416167,2.1850323116475394
45,46,0.1,0.12835820895522387,2.5007121897047493,2.526003510204714
46,47,0.1499,0.18840579710144928,2.3437818448255014,2.20678081166917
47,48,0.2026,0.24376731301939059,2.100186679013975,2.0336742529908705
48,49,0.1846,0.2231638418079096,2.176307422340296,2.0597653574189225
49,50,0.1686,0.20797720797720798,2.1314316509635587,2.065556355691024
50,51,0.2148,0.15816326530612246,2.145099055994848,2.374141203505652
51,52,0.1621,0.12951807228915663,2.313041112984821,2.3541007645158882
52,53,0.1741,0.18181818181818182,2.1605840367116746,2.2037347459173824
53,54,0.1797,0.13609467455621302,2.1650197012409285,2.1887171596465027
54,55,0.1785,0.17647058823529413,2.098114809412865,2.1218616451535905
55,56,0.1835,0.13746630727762804,2.2094200257283108,2.1592298652926547
56,57,0.1652,0.19811320754716982,2.1530580414328604,2.150516537750292
57,58,0.1771,0.2079207920792079,2.147416113288539,2.104326234300538
58,59,0.2004,0.21574344023323616,2.3486241352785924,2.2791280058313044
59,60,0.1319,0.07033639143730887,2.2481111766426425,2.3221264826048404
60,61,0.1402,0.16927899686520376,2.263687085953488,2.116304156174854
61,62,0.177,0.2671957671957672,2.2550311627661346,1.985804749859704
62,63,0.1806,0.1782178217821782,2.1818286142531473,2.1776124386504145
63,64,0.1562,0.20911528150134048,2.496685987824847,2.1559321477649678
64,65,0.1874,0.17880794701986755,2.163615239653618,2.1616536098600223
65,66,0.1635,0.16434540389972144,2.205134874696185,2.15947401556796
66,67,0.2028,0.26099706744868034,2.149700575573429,1.907898513452748
67,68,0.2347,0.175,2.0701484323307207,2.0123570766713885
68,69,0.188,0.23170731707317074,2.1085492850868564,2.0629112393390843
69,70,0.1856,0.15789473684210525,2.132789129664184,2.153890749618365
70,71,0.21,0.3008130081300813,2.03478893884428,1.950784693565472
71,72,0.2037,0.11176470588235295,2.1756808902048004,2.3289228137801676
72,73,0.1954,0.1076923076923077,2.18715114426461,2.498092885017395
73,74,0.1906,0.18475073313782991,2.0964528436114076,2.068953718258139
74,75,0.2534,0.2578125,2.038891311663731,1.9958168637628357
75,76,0.1942,0.23863636363636365,2.1052962738996857,1.9954520423303952
76,77,0.2082,0.12058823529411765,2.030791209002209,2.157908265730914
77,78,0.193,0.22670025188916876,2.1231882238084343,1.9647220358139923
78,79,0.2456,0.2222222222222222,1.9876962300318821,2.023108795497492
79,80,0.2146,0.2147239263803681,1.9954537593635024,2.0054490167670456
