,server_round,acc_centralized,acc_distributed,losses_centralized,losses_distributed
0,1,0.1,0.11380145278450363,5.53085451369073,4.760120851941605
1,2,0.1,0.05086848635235732,3.225949721731198,3.22893978732987
2,3,0.1,0.12100456621004566,3.1749006684418695,3.5625659747210814
3,4,0.1,0.08459869848156182,3.0995614316053453,3.0687512557573795
4,5,0.1,0.09870740305522914,2.9917884024844805,2.9492161951950377
5,6,0.1,0.07807118254879448,2.668179431538673,2.708310742876423
6,7,0.1,0.0611183355006502,2.7890323301789106,2.7615366462613267
7,8,0.1255,0.13611416026344675,2.4747280011511155,2.482698384807348
8,9,0.1596,0.13375,2.493316894883563,2.5962580755352973
9,10,0.1386,0.1547085201793722,2.48922183862917,2.339884397962168
10,11,0.1631,0.1914648212226067,2.428057268166998,2.3585244788430555
11,12,0.1706,0.1342134213421342,2.3108895963923946,2.2881208993945314
12,13,0.1102,0.05198358413132695,2.4715472953334734,2.8007166734635423
13,14,0.1683,0.22430939226519336,2.2034115821692595,2.150660898013668
14,15,0.1873,0.17857142857142858,2.3112688952950156,2.382700487480059
15,16,0.1646,0.22146739130434784,2.3829255073693147,2.044697243882262
16,17,0.1733,0.17704918032786884,2.214806107958411,2.2233752086514333
17,18,0.1685,0.1518987341772152,2.1753348453789,2.2374985931383313
18,19,0.1647,0.06734992679355783,2.4241293873756553,2.587769426154532
19,20,0.1669,0.10273972602739725,2.1824146888817952,2.226560808207891
20,21,0.1551,0.21964529331514324,2.1143590963570174,2.032921352945929
21,22,0.1944,0.19308035714285715,2.0685136173940766,2.0629356519452164
22,23,0.1603,0.1717948717948718,2.271677190331137,2.2735677959063114
23,24,0.2035,0.1876484560570071,2.182867070671859,2.2022464292349553
24,25,0.163,0.2749691738594328,2.1610685738788287,2.0465008589254206
25,26,0.1722,0.17266187050359713,2.0658147585619786,2.085147779622524
26,27,0.1987,0.22077922077922077,2.1544605812449364,2.0392674755177502
27,28,0.1843,0.1686046511627907,2.0386120187249155,2.0959064641664193
28,29,0.1909,0.24331550802139038,2.1284034085121886,1.9421261711554094
29,30,0.1907,0.1822721598002497,2.111185290251568,2.0512558657875966
30,31,0.186,0.1310096153846154,2.1332564551359527,2.3078600583741298
31,32,0.1646,0.21232123212321233,2.09360038702655,1.9654659658375353
32,33,0.159,0.13982521847690388,2.0265545974111863,2.0368214512288048
33,34,0.2077,0.20725995316159251,2.0722136178593726,1.9846683922081976
34,35,0.2198,0.17929562433297758,1.9624562278674667,2.0509693360506787
35,36,0.1823,0.18655097613882862,2.02074750213866,2.0328948089202417
36,37,0.2402,0.20838794233289645,2.1399792189810687,2.210224434088911
37,38,0.1868,0.22119815668202766,2.0536641163431155,2.0106328732681713
38,39,0.2647,0.15889029003783103,2.0382130928100293,2.2253174458596323
39,40,0.2212,0.25806451612903225,1.9734297231504112,1.9051537184121972
40,41,0.2314,0.29292929292929293,1.9853667392852201,1.8915539963377848
41,42,0.2304,0.2320675105485232,2.004885485977124,2.092976524231303
42,43,0.2148,0.21303841676367868,2.143571966013331,2.210177194253391
43,44,0.2564,0.26125,1.9737698204198462,1.904385606199503
44,45,0.2226,0.17087155963302753,2.0064709087845625,2.2470147675330487
45,46,0.2582,0.20666666666666667,2.0533079523949107,2.127677928606669
46,47,0.1934,0.25304136253041365,2.1136892973237735,2.0192100742147496
47,48,0.2416,0.18451749734888653,2.00823030729962,2.0854940234919495
48,49,0.2359,0.23108108108108108,2.0383671499361657,2.0317462721386472
49,50,0.2719,0.2744874715261959,2.043614392827271,1.9283856400596253
50,51,0.2412,0.2557603686635945,1.960369835233992,2.064998581799494
51,52,0.253,0.29598051157125455,1.9285324394323264,1.9023318350242493
52,53,0.2686,0.21476510067114093,1.974029990518169,1.917505511021454
53,54,0.2411,0.2634920634920635,2.051334612688441,1.8743428891298002
54,55,0.1872,0.17016029593094945,2.1640633686332946,2.2464270966561597
55,56,0.2317,0.2568710359408034,1.9708221209277013,1.884507402179105
56,57,0.2818,0.22762148337595908,1.9869024092984047,2.0652718719314125
57,58,0.2375,0.2975609756097561,1.9713675125389343,1.8652352850611618
58,59,0.2804,0.2909987669543773,1.9271629653918516,1.9202561992899263
59,60,0.2663,0.28771929824561404,1.9670048283923203,1.9599976732019793
60,61,0.2749,0.29534883720930233,1.8766439894961704,1.894072848558426
61,62,0.2756,0.24580335731414868,1.9032249078629122,2.0621395811474295
62,63,0.2681,0.27990708478513354,1.9017647512399467,1.9338116832726508
63,64,0.2966,0.31133250311332505,1.7817201925690767,1.7904934979613365
64,65,0.2462,0.3319919517102616,1.9266739051053479,1.776695307111836
65,66,0.3153,0.32314923619271446,1.8097782696887945,1.806098081810634
66,67,0.2487,0.1906392694063927,1.9267770796065118,2.0361717629106075
67,68,0.3103,0.2755102040816326,1.914047913946164,1.9384602793321317
68,69,0.2846,0.3172839506172839,1.7989017553390212,1.8504847973953058
69,70,0.2405,0.17923497267759564,1.9378715449837363,2.1431579339699667
70,71,0.3263,0.3342140026420079,1.7291962333545563,1.7569613562234956
71,72,0.2515,0.2143727161997564,2.0513915187993628,1.9937644168897901
72,73,0.327,0.3640836408364084,1.7730883504175077,1.6829872223723858
73,74,0.3162,0.29646522234891676,1.8795287745773412,1.8864080949411426
74,75,0.3247,0.26666666666666666,1.7656728613908124,1.8606877394315213
75,76,0.2819,0.35642317380352645,1.9287612658397408,1.651928579777254
76,77,0.3576,0.29691211401425177,1.7526805180652885,1.7845093009024504
77,78,0.2998,0.34227330779054915,1.812418007546929,1.687205902461348
78,79,0.317,0.35480225988700564,1.7756681206879343,1.7059038729317444
79,80,0.3581,0.4277251184834123,1.6559100272549185,1.5936273103359186
80,81,0.2688,0.29799764428739695,2.233429999867822,2.0924016702020687
81,82,0.3666,0.31917336394948337,1.681396217103217,1.7878650514458132
82,83,0.332,0.3333333333333333,1.7921647197881323,1.8004750462099053
83,84,0.3111,0.2921760391198044,1.777529553243309,1.788522828033326
84,85,0.3846,0.3168771526980482,1.6603056685939717,1.7444200437734103
85,86,0.3088,0.2866004962779156,1.8632241616583174,1.8671258501616068
86,87,0.3423,0.354796320630749,1.8143595525413563,1.8489943274373921
87,88,0.3311,0.30246913580246915,1.793939901764985,1.7340805626209872
88,89,0.3361,0.2559598494353827,1.7382650269064934,1.87017873180107
89,90,0.2962,0.2926509186351706,1.896932320230326,1.8683019106782328
90,91,0.3563,0.3203125,1.7574446535414192,2.0365363427748284
91,92,0.2531,0.2011577424023155,2.2304557523909647,2.51568833135834
92,93,0.3353,0.3737596471885336,1.8249287476205522,1.7630743002549816
93,94,0.342,0.38144329896907214,1.834206087574078,1.7997360054706517
94,95,0.3865,0.3858064516129032,1.7280095686578447,1.6886887451910204
95,96,0.3689,0.28779840848806365,1.7196024952420763,1.8569573375843564
96,97,0.3691,0.3992932862190813,1.7114757732221275,1.609341209291429
97,98,0.3729,0.4694835680751174,1.800454147302421,1.61450968353961
98,99,0.4145,0.4603854389721627,1.6056292315197598,1.5462621595925896
99,100,0.3362,0.35447338618346547,1.8930789422077738,1.7943880688968628
100,101,0.3494,0.35178351783517836,1.6977986507355027,1.6872051738724938
101,102,0.3861,0.4092570036540804,1.6934656519798716,1.5488402075366765
102,103,0.3795,0.38451935081148564,1.6159748742534856,1.585671151919609
103,104,0.3773,0.37276785714285715,1.6837925257956146,1.673854989664895
104,105,0.3848,0.36951754385964913,1.6172241223086217,1.581447225652243
105,106,0.3359,0.2438391699092088,1.7277904004807685,1.7863126329874714
106,107,0.4351,0.4380264741275572,1.540604633130845,1.5390008686538494
107,108,0.3659,0.4644607843137255,1.6771880016205416,1.5290543533423369
108,109,0.3939,0.3537859007832898,1.6707776101531497,1.6952205326787486
109,110,0.3858,0.3997395833333333,1.5890324176496762,1.5344122992828488
110,111,0.4033,0.39146341463414636,1.569171989799305,1.5493298164228113
111,112,0.4327,0.36341161928306553,1.5099603066778486,1.6472746720272766
112,113,0.3399,0.36658653846153844,1.828700584970462,1.6588621887450035
113,114,0.3835,0.4557124518613607,1.62478459640673,1.5209028059772105
114,115,0.397,0.4219858156028369,1.6806796409521894,1.5592835026993537
115,116,0.4533,0.5035663338088445,1.5018842751812782,1.3517983612762539
116,117,0.3839,0.435006435006435,1.663179658780432,1.4749210569695923
117,118,0.3975,0.4025641025641026,1.5873842573469612,1.565105478427349
118,119,0.4367,0.4737516005121639,1.5085556218578557,1.4343602700056401
119,120,0.4175,0.41134751773049644,1.5693298752900142,1.5702836438837344
120,121,0.3898,0.49940828402366866,1.5916751342214597,1.3584482181707078
121,122,0.4166,0.39210526315789473,1.6690183543855217,1.8025501069269683
122,123,0.4146,0.4375,1.5910154573476998,1.5638862173590395
123,124,0.425,0.4320203303684879,1.577887834257381,1.5511861454880072
124,125,0.4082,0.4598459845984598,1.6213839016142924,1.4314395319117177
125,126,0.4364,0.38408304498269896,1.6038360861456318,1.6702570015996385
126,127,0.3546,0.33676092544987146,1.728219077845288,1.7227107582178092
127,128,0.448,0.43908045977011495,1.4989784750968786,1.5587887765347272
128,129,0.4556,0.4483173076923077,1.466687278383097,1.5381309984681697
129,130,0.4306,0.5083333333333333,1.5823151670443785,1.3964525944656796
